x;y
137;-125
137;-123
137;-120
137;-118
137;-113
137;-110
137;-110
137;-110
135;-110
131;-110
128;-110
123;-107
123;-107
117;-104
114;-102
110;-100
103;-94
100;-91
96;-88
89;-80
89;-80
86;-77
79;-70
75;-66
68;-59
65;-56
57;-48
57;-48
53;-44
43;-34
38;-29
34;-25
24;-15
19;-10
15;-6
10;-1
0;8
-2;11
-6;15
-9;18
-12;22
-19;31
-22;35
-25;40
-31;49
-34;52
-37;54
-44;58
-47;60
-50;62
-54;64
-57;67
-62;74
-65;77
-67;80
-69;83
-72;85
-77;90
-79;92
-84;96
-87;96
-89;96
-91;96
-94;96
-96;96
-101;97
-104;99
-106;100
-110;104
-112;105
-114;107
-118;112
-118;115
-118;117
-118;120
-118;121
-118;121
