x;y
118;-122
118;-115
118;-111
118;-107
118;-104
116;-96
114;-95
111;-95
108;-95
105;-95
99;-95
96;-92
89;-85
86;-82
83;-78
79;-75
76;-71
69;-64
66;-61
62;-58
58;-53
49;-44
44;-39
39;-34
34;-30
25;-20
22;-17
18;-14
15;-10
8;-3
5;0
2;3
-1;6
-7;13
-11;16
-14;20
-18;23
-24;30
-28;34
-31;37
-34;41
-38;44
-44;50
-47;54
-51;57
-57;63
-59;66
-62;70
-64;73
-70;79
-72;82
-74;85
-78;90
-78;90
-83;95
-85;97
-87;99
-91;103
-93;105
-95;107
-97;109
-101;114
-103;116
-105;119
-109;123
-111;123
-112;123
-114;123
-116;123
-119;123
-119;123
-119;123
-119;123
-119;123
-119;123
-119;123
