x;y
-116;130
-113;130
-106;130
-103;130
-100;130
-93;130
-90;130
-86;130
-82;130
-75;130
-72;130
-68;130
-61;130
-57;130
-53;130
-50;130
-46;130
-42;130
-35;130
-31;130
-28;130
-24;130
-17;130
-13;130
-10;130
-6;130
0;130
4;130
8;130
15;130
19;130
22;130
26;130
29;130
33;130
41;130
44;130
48;130
51;130
59;130
62;130
66;130
73;130
77;130
80;130
84;130
93;130
98;130
103;130
108;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
114;130
