x;y
-112;123
-112;123
-112;123
-112;123
-112;123
-112;123
-112;123
-112;119
-112;117
-112;115
-112;115
-112;117
-112;120
-112;123
-112;128
-112;128
-112;128
-112;128
-112;128
-112;128
-112;128
-112;128
-112;128
-115;128
-117;128
-119;128
-123;128
-123;128
-124;128
-123;128
-113;128
-113;128
-104;128
-99;128
-95;128
-93;128
-90;128
-88;128
-86;128
-85;128
-85;128
-85;128
-85;128
-92;128
-96;128
-99;128
-103;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-111;128
-114;128
-115;128
-117;128
-118;128
-120;128
-120;128
-120;128
-120;128
-120;128
-120;128
-120;128
-120;128
-120;128
-120;126
-120;122
-120;118
-120;115
-120;107
-120;104
-120;100
-120;93
-120;89
-120;86
-120;82
-120;78
-120;71
-120;67
-120;60
-120;56
-120;53
-120;49
-120;45
-120;38
-120;34
-120;31
-120;27
-120;23
-120;16
-120;13
-120;9
-120;2
-120;-1
-120;-5
-120;-8
-120;-16
-120;-19
-120;-23
-120;-30
-120;-30
-120;-37
-120;-41
-120;-45
-120;-52
-120;-56
-120;-59
-120;-63
-120;-70
-120;-74
-120;-78
-120;-81
-120;-89
-120;-92
-120;-96
-120;-99
-120;-103
-120;-109
-120;-113
-120;-116
-120;-118
-120;-123
-120;-126
-120;-129
