time;x;y;fx;fy
63;120;-120;95;44
126;120;-120;95;44
189;120;-120;95;44
252;120;-119;95;381
315;120;-115;95;381
378;120;-108;0;381
441;120;-105;0;381
504;120;-101;0;381
567;120;-97;0;555
630;120;-90;0;555
693;120;-86;0;555
756;120;-83;0;555
819;120;-79;0;555
882;120;-72;0;631
945;120;-68;0;631
1008;120;-65;0;631
1071;120;-61;0;631
1134;120;-54;0;631
1197;120;-50;0;676
1260;120;-46;0;676
1323;120;-43;0;676
1386;120;-36;28;676
1449;120;-32;28;676
1512;120;-28;28;742
1575;120;-25;28;742
1638;120;-17;34;742
1701;120;-14;34;742
1764;120;-10;34;742
1827;120;-6;34;766
1890;120;0;34;766
1953;120;3;31;766
2016;120;7;31;766
2079;120;11;31;766
2142;120;18;31;628
2205;120;21;31;628
2268;120;25;26;628
2331;120;29;26;628
2394;120;36;26;528
2457;120;40;26;528
2520;120;43;26;528
2583;120;47;0;528
2646;120;54;0;528
2709;120;58;0;437
2772;120;61;0;437
2835;120;65;0;437
2898;120;72;0;437
2961;120;76;0;437
3024;120;80;0;285
3087;120;83;0;285
3150;120;90;0;285
3213;120;94;0;285
3276;120;98;0;285
3339;120;101;0;285
3402;120;108;0;228
3465;120;111;0;228
3528;120;115;40;228
3591;120;118;40;228
3654;120;123;40;52
3717;120;123;40;52
3780;120;123;40;52
3843;120;123;0;52
3906;120;123;0;52
3969;120;123;0;0
4032;120;123;0;0
4095;120;123;0;0
4158;120;123;0;0
4221;120;123;-89;-80
4284;120;123;-89;-80
4347;120;123;-89;-80
4410;120;123;-89;-80
4473;120;123;-89;-80
4536;119;122;-158;-141
4599;117;120;-158;-141
4662;113;116;-158;-141
4725;111;114;-158;-141
4788;108;112;-158;-141
4851;106;110;-203;-141
4914;100;108;-203;-100
4977;97;108;-203;-100
5040;94;108;-203;-100
5103;91;108;-203;-100
5166;85;108;-185;-195
5229;83;105;-185;-195
5292;80;102;-185;-195
5355;78;99;-185;-195
5418;73;93;-185;-195
5481;73;90;-89;-195
5544;73;88;-89;-165
5607;73;85;-89;-165
5670;73;80;-89;-165
5733;73;78;-89;-165
5796;73;75;-89;-165
5859;71;72;-167;-210
5922;66;66;-167;-210
5985;64;62;-167;-210
6048;61;59;-167;-210
6111;59;56;-167;-210
6174;53;50;-225;-174
6237;49;48;-225;-174
6300;46;45;-225;-174
6363;43;43;-225;-174
6426;36;38;-225;-208
6489;33;34;-225;-208
6552;30;31;-225;-208
6615;26;28;-225;-208
6678;20;22;-225;-208
6741;17;18;-179;-199
6804;14;15;-179;-199
6867;12;12;-179;-199
6930;7;5;-179;-199
6993;4;2;-179;-199
7056;2;0;-175;-202
7119;0;-3;-175;-202
7182;-5;-10;-175;-202
7245;-7;-13;-175;-202
7308;-10;-17;-175;-202
7371;-12;-20;-175;-179
7434;-17;-25;-178;-179
7497;-20;-27;-178;-179
7560;-22;-30;-178;-179
7623;-27;-35;-178;-179
7686;-30;-37;-178;-154
7749;-32;-39;-176;-154
7812;-35;-41;-176;-154
7875;-40;-45;-176;-154
7938;-43;-47;-176;-154
8001;-45;-49;-176;-140
8064;-50;-53;-164;-140
8127;-53;-55;-164;-140
8190;-55;-57;-164;-140
8253;-60;-61;-164;-129
8316;-63;-63;-160;-129
8379;-65;-65;-160;-129
8442;-67;-66;-160;-129
8505;-70;-68;-160;-129
8568;-74;-72;-160;-138
8631;-76;-74;-151;-138
8694;-78;-76;-151;-138
8757;-80;-77;-151;-138
8820;-84;-81;-151;-138
8883;-87;-83;-151;-152
8946;-89;-85;-147;-152
9009;-91;-87;-147;-152
