;time;x;y;fx;fy
;63;120;-120;82;57
;126;120;-120;82;57
;189;120;-120;82;57
;252;120;-120;83;57
;315;120;-120;83;57
;378;120;-120;83;57
;441;120;-120;83;57
;504;120;-120;83;57
;567;120;-120;84;57
;630;120;-120;84;57
;693;120;-120;84;57
;756;120;-120;84;57
;819;120;-120;84;57
;882;120;-120;86;57
;945;120;-120;86;57
;1008;120;-120;86;59
;1071;120;-120;86;59
;1134;120;-120;86;59
;1197;120;-120;63;59
;1260;120;-120;63;59
;1323;120;-118;63;346
;1386;120;-114;63;346
;1449;120;-110;63;346
;1512;120;-103;0;346
;1575;120;-99;0;346
;1638;120;-96;0;401
;1701;120;-92;0;401
;1764;120;-85;0;401
;1827;120;-81;0;401
;1890;120;-77;0;401
;1953;120;-74;0;358
;2016;120;-66;0;358
;2079;120;-63;0;358
;2142;120;-59;0;358
;2205;120;-55;0;358
;2268;120;-48;0;347
;2331;120;-44;0;347
;2394;120;-41;0;347
;2457;120;-37;0;347
;2520;120;-30;0;347
;2583;120;-26;0;345
;2646;120;-23;0;345
;2709;120;-19;0;345
;2772;120;-12;0;345
;2835;120;-8;0;345
;2898;120;-4;0;348
;2961;120;-1;0;348
;3024;120;6;0;348
;3087;120;9;0;348
;3150;120;13;0;348
;3213;120;17;0;363
;3276;120;24;0;363
;3339;120;28;0;363
;3402;120;31;0;363
;3465;120;35;0;363
;3528;120;42;0;350
;3591;120;46;0;350
;3654;120;49;0;350
;3717;120;53;0;350
;3780;120;61;0;266
;3843;120;66;0;266
;3906;120;70;0;266
;3969;120;75;0;266
;4032;120;84;0;266
;4095;120;89;0;58
;4158;120;89;0;58
;4221;120;89;0;58
;4284;120;89;43;58
;4347;120;89;43;58
;4410;120;89;43;133
;4473;120;91;43;133
;4536;120;94;0;133
;4599;120;96;0;133
;4662;120;97;0;133
;4725;120;99;0;133
;4788;120;106;0;202
;4851;120;109;0;202
;4914;120;112;0;202
;4977;120;115;0;202
;5040;120;120;0;111
;5103;120;122;0;111
;5166;120;123;0;111
;5229;120;125;0;111
;5292;120;128;0;111
;5355;120;128;0;0
;5418;120;128;0;0
;5481;120;128;0;0
;5544;120;128;-33;-102
;5607;120;128;-33;-102
;5670;120;128;-33;-102
;5733;120;128;-33;-102
;5796;120;127;-33;-140
;5859;120;125;-86;-140
;5922;120;123;-86;-140
;5985;120;121;-86;-140
;6048;120;117;-86;-140
;6111;120;116;-86;-90
;6174;119;116;-193;-90
;6237;116;116;-193;-90
;6300;110;116;-193;-90
;6363;108;116;-193;-90
;6426;105;116;-193;-65
;6489;102;116;-238;-65
;6552;94;116;-238;-65
;6615;90;116;-238;-65
;6678;87;116;-238;-65
;6741;79;112;0;-286
;6804;79;109;0;-286
;6867;79;105;0;-286
;6930;79;102;0;-286
;6993;79;98;0;-286
;7056;79;94;0;-86
;7119;79;94;-29;-86
;7182;79;94;-29;-86
;7245;79;94;-29;-86
;7308;79;94;-29;-86
;7371;79;92;-29;-175
;7434;78;90;-113;-175
;7497;77;87;-113;-175
;7560;74;82;-113;-175
;7623;72;79;-113;-175
;7686;71;78;-113;0
;7749;70;78;0;0
;7812;70;78;0;0
;7875;70;78;0;0
;7938;70;78;0;0
;8001;70;78;0;-57
;8064;70;78;0;-57
;8127;70;78;0;-57
;8190;70;78;0;-57
;8253;70;78;0;-57
;8316;70;72;-87;-263
;8379;70;67;-87;-263
;8442;70;63;-87;-263
;8505;70;58;-87;-263
;8568;70;49;-87;-149
;8631;70;47;-197;-149
;8694;66;45;-197;-149
;8757;60;41;-197;-149
;8820;57;39;-197;-149
;8883;54;36;-197;-65
;8946;51;36;-96;-65
;9009;51;36;-96;-65
;9072;51;36;-96;-65
;9135;51;36;-96;-65
;9198;51;36;-96;-65
;9261;51;36;-44;0
;9324;51;36;-44;0
;9387;51;36;-44;0
;9450;51;36;-44;0
;9513;51;36;-44;-50
;9576;51;36;-76;-50
;9639;51;36;-76;-50
;9702;51;36;-76;-50
;9765;51;36;-76;-50
;9828;51;36;-76;0
;9891;50;36;-133;0
;9954;49;36;-133;0
;10017;47;36;-133;0
;10080;43;36;-133;0
;10143;42;36;-133;0
;10206;41;36;-106;0
;10269;41;36;-106;0
;10332;41;36;-106;0
;10395;41;36;-106;0
;10458;41;36;-106;-129
;10521;41;33;-89;-129
;10584;41;31;-89;-129
;10647;41;27;-89;-129
;10710;41;26;-89;-95
;10773;41;26;-188;-95
;10836;38;26;-188;-95
;10899;35;26;-188;-95
;10962;29;26;-188;-95
;11025;26;26;-188;-154
;11088;24;24;-235;-154
;11151;20;21;-235;-154
;11214;13;17;-235;-154
;11277;9;15;-235;-154
;11340;6;13;-235;-154
;11403;2;11;-235;-178
;11466;0;8;-181;-178
;11529;-5;3;-181;-178
;11592;-7;1;-181;-178
;11655;-10;-1;-181;-178
;11718;-12;-4;-181;-165
;11781;-15;-6;-181;-165
;11844;-20;-11;-181;-165
;11907;-22;-14;-181;-165
;11970;-25;-16;-181;-165
;12033;-30;-21;-146;-192
;12096;-32;-24;-146;-192
;12159;-34;-27;-146;-192
;12222;-36;-30;-146;-192
;12285;-40;-36;-146;-174
;12348;-42;-39;-119;-174
;12411;-43;-41;-119;-174
;12474;-46;-46;-119;-174
;12537;-48;-49;-119;-174
;12600;-49;-51;-119;-178
;12663;-51;-54;-151;-178
;12726;-55;-59;-151;-178
;12789;-57;-62;-151;-178
;12852;-59;-64;-151;-178
;12915;-63;-69;-196;-170
;12978;-63;-69;-196;-170
;13041;-66;-72;-196;-170
;13104;-72;-77;-196;-170
;13167;-75;-79;-196;-170
;13230;-78;-82;-196;-174
;13293;-84;-87;-165;-174
;13356;-86;-89;-165;-174
;13419;-89;-92;-165;-174
;13482;-91;-94;-165;-174
;13545;-96;-98;-165;-128
;13608;-97;-100;-104;-128
;13671;-97;-102;-104;-128
;13734;-97;-104;-104;-128
;13797;-97;-107;-104;-128
;13860;-97;-107;-104;-80
;13923;-97;-107;-99;-80
;13986;-97;-107;-99;-80
;14049;-97;-107;-99;-80
;14112;-97;-107;-99;-80
;14175;-97;-107;-99;-87
;14238;-99;-107;-214;-87
;14301;-106;-107;-214;-87
;14364;-110;-107;-214;-87
;14427;-114;-107;-214;-87
;14490;-117;-107;-214;-97
;14553;-122;-107;-144;-97
;14616;-124;-107;-144;-97
;14679;-128;-107;-144;-97
;14742;-130;-107;-144;-96
;14805;-132;-107;0;-96
;14868;-132;-107;0;-96
;14931;-132;-107;0;-96
;14994;-132;-107;0;-96
;15057;-132;-108;0;-144
;15120;-132;-110;39;-144
;15183;-132;-114;39;-144
;15246;-132;-116;39;-144
;15309;-132;-118;39;-144
;15372;-132;-120;39;-48
;15435;-132;-120;56;-48
;15498;-132;-120;56;-48
;15561;-132;-120;56;119
;15624;-132;-119;56;119
;15687;-132;-116;56;119
;15750;-132;-114;56;119
;15813;-129;-113;415;119
;15876;-121;-111;415;67
;15939;-118;-111;415;67
;16002;-114;-111;415;67
;16065;-110;-111;415;67
;16128;-107;-111;181;67
;16191;-102;-111;181;0
;16254;-100;-111;181;0
;16317;-97;-111;181;-37
;16380;-95;-111;181;-37
;16443;-93;-111;67;-37
;16506;-93;-111;67;-37
;16569;-93;-111;67;-37
;16632;-93;-111;67;0
;16695;-93;-111;55;0
;16758;-93;-111;55;0
;16821;-93;-111;55;0
;16884;-93;-111;55;0
;16947;-93;-111;55;-40
;17010;-92;-111;771;-40
;17073;-89;-111;771;-40
;17136;-85;-111;771;-40
;17199;-78;-111;771;0
;17262;-74;-111;771;0
;17325;-72;-111;877;0
;17388;-76;-111;877;0
;17451;-83;-111;877;0
;17514;-87;-111;877;-38
;17577;-90;-111;877;-38
;17640;-97;-111;1036;-38
;17703;-97;-111;1036;-38
;17766;-105;-111;1036;-38
;17829;-108;-111;1036;-38
;17892;-112;-111;1036;-29
;17955;-116;-111;33;-29
;18018;-116;-111;33;-29
;18081;-116;-111;33;-29
;18144;-116;-111;33;-29
;18207;-116;-111;33;0
;18270;-115;-111;125;0
;18333;-113;-111;125;0
;18396;-109;-111;125;0
;18459;-109;-111;125;0
;18522;-106;-111;125;-42
;18585;-103;-111;366;-42
;18648;-96;-111;366;-42
;18711;-92;-111;366;-42
;18774;-89;-111;366;-107
;18837;-85;-111;366;-107
;18900;-81;-111;505;-107
;18963;-74;-111;505;-107
;19026;-70;-111;505;-107
;19089;-67;-111;505;-48
;19152;-60;-111;722;-48
;19215;-56;-111;722;-48
;19278;-52;-111;722;-48
;19341;-45;-111;722;-28
;19404;-45;-111;722;-28
;19467;-38;-111;797;-28
;19530;-34;-111;797;-28
;19593;-30;-111;797;-28
;19656;-23;-111;797;0
;19719;-19;-111;797;0
;19782;-16;-111;758;0
;19845;-12;-111;758;0
;19908;-5;-111;758;0
;19971;-1;-111;758;0
;20034;1;-111;758;-32
;20097;5;-111;758;-32
;20160;9;-111;732;-32
;20223;16;-111;732;-32
;20286;20;-111;732;-32
;20349;23;-111;732;-32
;20412;31;-111;694;-41
;20475;31;-111;694;-41
;20538;38;-111;694;-41
;20601;41;-111;694;-41
;20664;45;-111;694;-41
;20727;52;-111;642;-38
;20790;56;-111;642;-38
;20853;60;-111;642;-38
;20916;63;-111;642;-38
;20979;71;-111;642;-43
;21042;74;-111;511;-43
;21105;78;-111;511;-43
;21168;81;-111;511;-43
;21231;89;-111;511;-43
;21294;92;-111;511;-33
;21357;96;-111;348;-33
;21420;100;-111;348;-33
;21483;107;-111;348;-33
;21546;111;-111;348;-33
;21609;114;-111;348;0
;21672;118;-111;227;0
;21735;124;-111;227;0
;21798;128;-111;227;0
;21861;131;-111;227;194
;21924;137;-105;-38;194
;21987;137;-102;-38;194
;22050;137;-99;-38;194
;22113;137;-95;-38;194
;22176;137;-92;-38;97
;22239;137;-92;-38;97
;22302;137;-92;-75;97
;22365;137;-92;-75;97
;22428;137;-92;-75;97
;22491;137;-92;-75;0
;22554;137;-92;-75;0
;22617;137;-92;-81;0
;22680;137;-92;-81;0
;22743;137;-92;-81;0
;22806;137;-92;-81;44
;22869;137;-92;-81;44
;22932;135;-92;-236;44
;22995;128;-92;-236;44
;23058;124;-92;-236;44
;23121;120;-92;-236;0
;23184;115;-92;-77;0
;23247;115;-92;-77;0
;23310;115;-92;-77;0
;23373;115;-92;-77;0
;23436;115;-87;-77;470
;23499;115;-84;-64;470
;23562;115;-80;-64;470
;23625;115;-76;-64;470
;23688;115;-73;-64;470
;23751;115;-70;-64;34
;23814;114;-70;-112;34
;23877;113;-70;-112;34
;23940;110;-70;-112;34
;24003;110;-70;-112;34
;24066;107;-70;-112;-28
;24129;106;-70;-97;-28
;24192;106;-70;-97;-28
;24255;106;-70;-97;-28
;24318;106;-70;-97;110
;24381;106;-70;-97;110
;24444;106;-70;-97;110
;24507;101;-70;-155;110
;24570;99;-70;-155;110
;24633;97;-70;-155;110
;24696;94;-69;-155;122
;24759;89;-66;-198;122
;24822;86;-64;-198;122
;24885;83;-62;-198;122
;24948;79;-61;-198;122
;25011;76;-58;-198;324
;25074;69;-51;-261;324
;25137;66;-48;-261;324
;25200;63;-44;-261;324
;25263;55;-37;-261;259
;25326;51;-32;-261;259
;25389;47;-28;-286;259
;25452;43;-25;-286;259
;25515;36;-18;-286;259
;25578;32;-15;-286;302
;25641;28;-10;-286;302
;25704;23;-5;-222;302
;25767;17;0;-222;302
;25830;13;4;-222;302
;25893;10;7;-222;302
;25956;7;10;-222;180
;26019;1;15;-182;180
;26082;-1;18;-182;180
;26145;-3;20;-182;180
;26208;-6;23;-182;180
;26271;-11;27;-153;123
;26334;-13;29;-153;123
;26397;-15;30;-153;123
;26460;-17;32;-153;123
;26523;-21;35;-153;70
;26586;-23;36;-153;70
;26649;-26;36;-173;70
;26712;-28;36;-173;70
;26775;-33;36;-173;70
;26838;-35;36;-173;70
;26901;-38;38;-173;204
;26964;-42;45;-163;204
;27027;-42;45;-163;204
;27090;-47;51;-163;204
;27153;-50;55;-163;204
;27216;-52;59;-163;324
;27279;-55;67;-94;324
;27342;-55;71;-94;324
;27405;-55;74;-94;324
;27468;-55;78;-94;324
;27531;-55;79;-94;75
;27594;-56;79;-134;75
;27657;-58;79;-134;75
;27720;-59;79;-134;75
;27783;-63;79;-134;61
;27846;-65;79;-134;61
;27909;-66;79;-119;61
;27972;-69;79;-119;61
;28035;-71;79;-119;61
;28098;-72;80;-119;236
;28161;-74;84;-119;236
;28224;-76;87;-118;236
;28287;-79;94;-118;236
;28350;-81;97;-118;236
;28413;-82;100;-118;0
;28476;-84;100;-118;0
;28539;-87;100;-115;0
;28602;-88;100;-115;0
;28665;-90;100;-115;0
;28728;-91;100;-115;0
;28791;-94;100;-115;0
;28854;-95;100;-106;0
;28917;-95;100;-106;0
;28980;-95;100;-106;0
;29043;-95;103;-106;207
;29106;-95;106;-106;207
;29169;-96;110;-119;207
;29232;-99;116;-119;207
;29295;-101;120;-119;207
;29358;-102;121;-119;0
;29421;-104;121;-119;0
;29484;-105;121;-98;0
;29547;-105;121;-98;0
;29610;-105;121;-98;0
;29673;-105;121;-98;82
;29736;-105;121;-98;82
;29799;-105;121;-107;82
;29862;-105;121;-107;82
;29925;-105;122;-107;172
;29988;-105;124;-107;172
;30051;-105;127;-86;172
;30114;-105;129;-86;172
;30177;-105;130;-86;172
;30240;-105;130;-86;172
;30303;-105;130;-86;0
;30366;-105;130;-86;0
;30429;-105;130;-130;0
;30492;-108;130;-130;0
;30555;-110;130;-130;-39
;30618;-112;130;-130;-39
;30681;-114;130;-130;-39
;30744;-117;130;-117;-39
;30807;-118;130;-117;-39
;30870;-120;130;-117;0
;30933;-121;130;-117;0
;30996;-124;130;-117;0
;31059;-125;130;0;0
;31122;-125;130;0;0
;31185;-125;130;0;0
;31248;-125;123;0;-238
;31311;-125;119;39;-238
;31374;-125;116;39;-238
;31437;-125;112;39;-238
;31500;-125;105;39;-449
;31563;-125;101;39;-449
;31626;-125;98;0;-449
;31689;-125;94;0;-449
;31752;-125;87;0;-449
;31815;-125;87;0;-449
;31878;-125;79;0;-409
;31941;-125;76;0;-409
;32004;-125;72;0;-409
;32067;-125;65;0;-409
;32130;-125;61;0;-403
;32193;-125;57;0;-403
;32256;-125;54;0;-403
;32319;-125;46;0;-403
;32382;-125;43;0;-403
;32445;-125;39;0;-454
;32508;-125;35;0;-454
;32571;-125;28;0;-454
;32634;-125;25;0;-454
;32697;-125;21;0;-454
;32760;-125;17;0;-397
;32823;-125;10;0;-397
;32886;-125;6;0;-397
;32949;-125;3;0;-397
;33012;-125;0;0;-397
;33075;-125;-4;0;-223
;33138;-125;-11;0;-223
;33201;-125;-14;0;-223
;33264;-125;-21;0;-223
;33327;-125;-24;0;-223
;33390;-125;-29;0;-267
;33453;-125;-33;0;-267
;33516;-125;-38;0;-267
;33579;-125;-48;0;-267
;33642;-125;-53;0;-267
;33705;-125;-55;0;-112
;33768;-125;-57;0;-112
;33831;-125;-60;0;-112
;33894;-125;-61;0;-112
;33957;-125;-63;0;-112
;34020;-125;-65;0;-146
;34083;-125;-69;0;-146
;34146;-125;-71;0;-146
;34209;-125;-73;0;-146
;34272;-125;-75;0;-146
;34335;-125;-76;0;-102
;34398;-125;-76;0;-102
;34461;-125;-76;0;-102
;34524;-125;-76;0;-102
;34587;-125;-77;0;-219
;34650;-125;-81;0;-219
;34713;-125;-84;40;-219
;34776;-125;-87;40;-219
;34839;-125;-94;40;-219
;34902;-125;-97;40;-227
;34965;-125;-104;0;-227
;35028;-125;-104;0;-227
;35091;-125;-107;0;-227
;35154;-125;-114;0;-227
;35217;-125;-117;0;-110
;35280;-125;-118;0;-110
;35343;-125;-118;0;-110
;35406;-123;-118;115;-110
;35469;-122;-118;115;-110
;35532;-120;-118;115;-110
;35595;-117;-118;115;0
;35658;-116;-118;115;0
;35721;-113;-118;672;0
;35784;-105;-118;672;0
;35847;-102;-118;672;-83
;35910;-98;-118;672;-83
;35973;-94;-118;672;-83
;36036;-95;-118;971;-83
;36099;-99;-118;971;-83
;36162;-106;-118;971;-36
;36225;-110;-118;971;-36
;36288;-116;-118;1176;-36
;36351;-118;-118;1176;-36
;36414;-121;-118;1176;-36
;36477;-123;-118;1176;-43
;36540;-125;-118;1176;-43
;36603;-129;-118;62;-43
;36666;-129;-118;62;-43
;36729;-129;-118;62;-43
;36792;-129;-118;62;0
;36855;-129;-118;62;0
;36918;-130;-118;841;0
;36981;-134;-118;841;0
