x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-116
120;-112
120;-109
120;-105
120;-98
120;-94
120;-90
120;-87
120;-79
120;-76
120;-72
120;-69
120;-61
120;-58
120;-54
120;-50
120;-43
120;-39
120;-36
120;-32
120;-25
120;-21
120;-17
120;-14
120;-6
120;-3
120;0
120;4
120;11
120;14
120;18
120;22
120;29
120;33
120;36
120;40
120;47
120;51
120;54
120;58
120;64
120;66
120;68
120;70
120;74
120;77
120;79
120;82
120;87
120;89
120;92
120;96
120;103
120;107
120;111
120;114
120;118
120;120
120;122
120;124
120;125
120;125
120;125
120;125
120;125
