x;y
-108;-115
-104;-115
-101;-115
-97;-115
-90;-115
-86;-115
-82;-115
-79;-115
-71;-115
-68;-115
-64;-115
-61;-115
-53;-115
-50;-115
-46;-115
-42;-115
-35;-115
-31;-115
-28;-115
-20;-115
-17;-115
-13;-115
-9;-115
-2;-115
1;-115
4;-115
8;-115
11;-115
19;-115
22;-115
26;-115
30;-115
37;-115
41;-115
44;-115
48;-115
55;-115
59;-115
62;-115
66;-115
70;-115
77;-115
81;-115
88;-115
92;-115
95;-115
99;-115
102;-115
108;-115
112;-115
115;-115
115;-115
115;-115
115;-115
115;-115
