x;y
120;122
120;120
120;115
120;112
120;110
120;108
117;106
108;102
103;100
98;98
93;97
86;94
83;92
79;91
76;88
70;82
70;79
70;77
70;74
70;69
70;66
68;64
67;61
63;56
61;54
60;52
58;50
54;46
52;44
49;40
47;37
44;32
43;29
42;26
40;23
36;19
34;16
31;14
29;11
24;11
21;11
17;11
13;11
6;9
3;7
0;4
-2;2
-7;-2
-9;-5
-11;-7
-14;-10
-19;-15
-22;-17
-24;-20
-27;-21
-32;-24
-34;-26
-37;-27
-42;-31
-44;-33
-46;-35
-48;-37
-53;-41
-55;-44
-57;-46
-58;-49
-62;-54
-63;-56
-65;-59
-67;-62
-70;-68
-72;-71
-74;-74
-75;-77
-79;-81
-80;-83
-82;-85
-83;-87
-86;-90
-87;-90
-87;-90
-87;-90
-87;-90
-87;-91
-87;-92
-87;-94
-87;-98
-87;-99
-87;-101
-87;-101
-92;-101
-95;-101
-97;-101
-102;-101
-104;-101
-106;-101
-109;-101
-113;-101
-115;-102
-117;-105
-120;-109
-120;-109
-123;-113
-124;-114
-125;-117
-125;-119
-125;-120
-125;-122
